iter	Logloss
0	0.688565364
1	0.6833727362
2	0.6785787715
3	0.6735912163
4	0.6675234188
5	0.6621492235
6	0.6571854935
7	0.6522930942
8	0.6468270896
9	0.6441984381
10	0.6396343679
11	0.6354580508
12	0.6306689656
13	0.625924848
14	0.6202945935
15	0.6155720322
16	0.6106387195
17	0.6069095126
18	0.6026141099
19	0.5983017776
20	0.5941399667
21	0.5892897157
22	0.5856144135
23	0.5816438873
24	0.5781570934
25	0.5737438429
26	0.5700279793
27	0.566818474
28	0.5635361859
29	0.5606925805
30	0.5571718176
31	0.5537677509
32	0.5501069708
33	0.5473835821
34	0.5440810361
35	0.541238752
36	0.5385063257
37	0.5351643188
38	0.5326846932
39	0.5297674937
40	0.5272086826
41	0.5245038239
42	0.5220829232
43	0.5190913505
44	0.5161717557
45	0.5145462527
46	0.5115781025
47	0.5093750403
48	0.507093601
49	0.5044473215
50	0.5019246269
51	0.5000692958
52	0.4979597354
53	0.4953386339
54	0.4936612627
55	0.4911751244
56	0.4893588964
57	0.4882595382
58	0.486174628
59	0.4837561959
60	0.4813609836
61	0.4793377649
62	0.4777432807
63	0.476021918
64	0.4737645192
65	0.4722069141
66	0.4704895247
67	0.4685987431
68	0.4666356807
69	0.4646851595
70	0.4626261033
71	0.4607152843
72	0.4592341801
73	0.4572759189
74	0.4553300777
75	0.4536833725
76	0.4521490951
77	0.4504046363
78	0.4491716715
79	0.4477647049
80	0.4465050212
81	0.4454676667
82	0.4439718507
83	0.4421793241
84	0.4408207651
85	0.4394419534
86	0.4383834496
87	0.4371858772
88	0.4357962024
89	0.4352065939
90	0.4338316383
91	0.4332248428
92	0.4318850077
93	0.4304634762
94	0.4291660737
95	0.4278966798
96	0.4265594964
97	0.4251650186
98	0.4245166898
99	0.4236077359
100	0.4224427042
101	0.4214225422
102	0.4202086152
103	0.4189754254
104	0.4180546243
105	0.4165394986
106	0.4150819294
107	0.413724698
108	0.4126157487
109	0.4114560164
110	0.410572601
111	0.4097242804
112	0.4087942455
113	0.4076512393
114	0.4064110232
115	0.4053557708
116	0.4041413984
117	0.4034995762
118	0.4028114437
119	0.401761541
120	0.4008529288
121	0.3998484871
122	0.3988957377
123	0.3980503947
124	0.3972398695
125	0.3963485144
126	0.3953113025
127	0.3945217905
128	0.3935950416
129	0.3923254117
130	0.391447237
131	0.3905941951
132	0.3899130838
133	0.3888303073
134	0.3879882249
135	0.3872446784
136	0.3863052862
137	0.3856445012
138	0.3854644422
139	0.3848790902
140	0.3839400893
141	0.3834266698
142	0.3826892408
143	0.3818551782
144	0.3811698418
145	0.3803717301
146	0.3796193884
147	0.3789486731
148	0.3780253252
149	0.3775465453
150	0.3767577115
151	0.3761848741
152	0.375596587
153	0.3748665531
154	0.3742907042
155	0.3735215202
156	0.3729489874
157	0.3722904714
158	0.3715739634
159	0.3711841792
160	0.3706143723
161	0.3700935313
162	0.3692449286
163	0.3687658602
164	0.368200184
165	0.3675678271
166	0.3668597966
167	0.365904176
168	0.3653138798
169	0.3648550168
