iter	Passed	Remaining
0	2	2227
1	3	1987
2	4	1592
3	6	1600
4	7	1571
5	9	1567
6	10	1523
7	12	1520
8	14	1581
9	14	1480
10	16	1462
11	17	1468
12	19	1463
13	20	1456
14	21	1444
15	23	1454
16	25	1456
17	26	1465
18	28	1467
19	30	1472
20	31	1468
21	33	1483
22	34	1478
23	36	1470
24	36	1442
25	38	1441
26	39	1426
27	40	1422
28	42	1408
29	43	1401
30	44	1398
31	46	1396
32	47	1395
33	49	1394
34	50	1391
35	52	1392
36	53	1395
37	55	1394
38	56	1393
39	57	1391
40	58	1377
41	59	1367
42	61	1363
43	62	1364
44	65	1381
45	66	1378
46	67	1376
47	69	1375
48	70	1367
49	72	1384
50	74	1383
51	75	1369
52	76	1370
53	78	1370
54	79	1370
55	81	1368
56	82	1368
57	83	1356
58	84	1353
59	86	1351
60	87	1350
61	89	1348
62	90	1350
63	92	1357
64	94	1361
65	96	1359
66	97	1354
67	98	1351
68	100	1350
69	101	1346
70	102	1342
71	103	1338
72	105	1334
73	106	1332
74	107	1328
75	108	1321
76	110	1319
77	112	1325
78	113	1320
79	114	1316
80	115	1307
81	116	1299
82	117	1296
83	118	1294
84	119	1286
85	120	1283
86	121	1276
87	122	1273
88	124	1270
89	124	1263
90	126	1262
91	127	1254
92	128	1252
93	129	1249
94	130	1247
95	132	1247
96	134	1250
97	135	1248
98	136	1242
99	138	1242
100	139	1239
101	140	1236
102	141	1235
103	143	1232
104	144	1231
105	145	1228
106	146	1226
107	148	1223
108	149	1221
109	150	1218
110	151	1216
111	154	1222
112	156	1225
113	157	1225
114	159	1226
115	160	1224
116	161	1222
117	163	1219
118	163	1213
119	165	1211
120	166	1208
121	167	1205
122	168	1204
123	169	1199
124	171	1198
125	173	1200
126	174	1198
127	175	1196
128	176	1194
129	178	1191
130	179	1189
131	180	1186
132	181	1184
133	183	1184
134	184	1182
135	185	1181
136	187	1179
137	188	1178
138	189	1172
139	191	1176
140	193	1177
141	194	1176
142	195	1174
143	197	1172
144	198	1170
145	199	1168
146	201	1166
147	202	1165
148	203	1163
149	204	1161
150	206	1159
151	207	1157
152	208	1155
153	209	1153
154	212	1157
155	213	1155
156	214	1153
157	216	1152
158	217	1151
159	218	1149
160	220	1147
161	221	1145
162	222	1143
163	223	1141
164	225	1139
165	226	1137
166	227	1134
167	228	1133
168	230	1131
169	231	1130
170	232	1127
171	233	1125
172	235	1123
173	236	1121
174	237	1119
175	238	1117
176	239	1114
177	240	1112
178	242	1111
179	243	1109
180	244	1107
181	245	1105
182	247	1103
183	248	1100
184	249	1098
185	251	1100
186	252	1098
187	253	1096
188	255	1094
189	256	1092
190	257	1091
191	258	1089
192	260	1087
193	260	1084
194	261	1080
195	262	1078
196	264	1076
197	265	1074
198	266	1073
199	267	1071
200	269	1069
201	271	1071
202	272	1069
203	273	1068
204	274	1066
205	276	1064
206	277	1061
207	278	1059
208	279	1057
209	280	1055
210	281	1054
211	283	1052
212	284	1050
213	285	1049
214	286	1047
215	288	1046
216	289	1044
217	291	1045
218	292	1042
219	293	1040
220	294	1039
221	296	1037
222	297	1035
223	298	1034
224	299	1032
225	300	1030
226	302	1028
227	303	1027
228	304	1025
229	305	1023
230	307	1022
231	308	1020
232	309	1018
233	311	1019
234	312	1017
235	313	1015
236	314	1013
237	316	1012
238	317	1010
239	319	1010
240	320	1008
241	321	1007
242	322	1005
243	323	1003
244	324	1001
245	326	999
246	327	997
247	328	996
248	329	994
249	331	994
250	332	993
251	334	991
252	335	990
253	336	988
254	337	986
255	338	985
256	340	983
257	341	982
258	342	980
259	343	978
260	345	976
261	346	975
262	347	973
263	348	972
264	350	971
265	351	970
266	352	968
267	353	966
268	355	965
269	356	963
270	357	961
271	358	960
272	359	958
273	361	957
274	362	955
275	363	954
276	364	952
277	366	950
278	367	949
279	368	947
280	370	948
281	372	947
282	373	946
283	374	944
284	375	943
285	376	940
286	378	939
287	379	938
288	381	937
289	382	936
290	383	935
291	385	933
292	386	931
293	387	930
294	388	928
295	390	929
296	392	928
297	393	927
298	394	925
299	395	923
300	396	921
301	398	920
302	399	918
303	400	916
304	401	915
305	402	913
306	404	912
307	405	910
308	406	909
309	407	908
310	409	906
311	410	905
312	411	903
313	412	902
314	414	900
315	415	899
316	416	897
317	418	896
318	419	895
319	420	893
320	421	892
321	423	890
322	424	889
323	425	888
324	426	885
325	427	884
326	429	883
327	430	882
328	432	881
329	433	879
330	434	878
331	435	876
332	436	875
333	438	873
334	439	872
335	440	870
336	441	869
337	442	867
338	444	866
339	445	864
340	446	863
341	447	861
342	448	859
343	449	857
344	451	856
345	452	854
346	453	853
347	454	852
348	456	850
349	457	849
350	458	848
351	459	846
352	461	845
353	462	843
354	463	842
355	464	840
356	465	839
357	467	837
358	468	836
359	469	834
360	470	833
361	472	833
362	473	831
363	475	830
364	476	828
365	477	827
366	478	825
367	480	824
368	481	823
369	482	821
370	483	820
371	485	818
372	486	817
373	487	815
374	488	814
375	489	813
376	491	811
377	492	810
378	493	809
379	494	807
380	495	804
381	496	803
382	497	802
383	499	800
384	500	799
385	501	797
386	502	796
387	504	795
388	505	793
389	506	792
390	507	791
391	509	789
392	510	788
393	511	786
394	512	785
395	513	783
396	514	782
397	516	781
398	533	803
399	535	803
400	538	804
401	541	804
402	543	805
403	546	806
404	549	807
405	552	808
406	555	808
407	557	808
408	559	808
409	561	808
410	564	808
411	566	808
412	568	807
413	570	807
414	573	807
415	575	807
416	577	806
417	578	804
418	579	803
419	581	802
420	582	801
421	584	800
422	585	799
423	587	797
424	588	796
425	589	794
426	590	792
427	593	792
428	594	791
429	596	790
430	597	788
431	598	786
432	599	785
433	600	783
434	602	781
435	603	780
436	604	779
437	606	777
438	607	776
439	608	774
440	610	773
441	611	772
442	613	770
443	614	769
444	615	767
445	617	766
446	618	764
447	619	763
448	621	762
449	622	760
450	623	759
451	625	758
452	626	757
453	628	755
454	629	754
455	632	754
456	633	752
457	634	751
458	636	749
459	637	748
460	639	747
461	641	746
462	642	744
463	643	743
464	645	742
465	646	740
466	647	739
467	649	738
468	650	737
469	653	736
470	654	735
471	656	734
472	657	732
473	659	731
474	660	730
475	662	728
476	663	727
477	665	726
478	666	724
479	668	723
480	669	722
481	670	720
482	673	720
483	674	719
484	676	718
485	677	716
486	679	715
487	680	713
488	681	712
489	683	710
490	684	709
491	685	707
492	687	706
493	688	705
494	689	703
495	691	702
496	693	701
497	694	700
498	696	698
499	697	697
500	698	696
501	700	694
502	701	693
503	702	691
504	704	690
505	705	688
506	707	687
507	708	686
508	710	684
509	711	683
510	713	682
511	714	681
512	716	679
513	717	678
514	718	676
515	720	675
516	721	674
517	722	672
518	724	671
519	725	670
520	727	668
521	728	667
522	730	665
523	731	664
524	734	664
525	736	663
526	738	662
527	739	661
528	741	659
529	742	658
530	743	657
531	745	655
532	748	655
533	750	655
534	752	653
535	754	652
536	755	651
537	756	649
538	757	647
539	758	646
540	760	645
541	761	643
542	763	642
543	764	641
544	766	639
545	767	638
546	768	636
547	770	635
548	772	634
549	774	634
550	776	632
551	777	631
552	779	629
553	780	628
554	782	627
555	783	625
556	785	624
557	786	622
558	787	621
559	789	620
560	790	618
561	792	617
562	794	616
563	795	615
564	797	613
565	798	612
566	799	610
567	801	609
568	802	607
569	803	606
570	805	604
571	806	603
572	807	601
573	808	600
574	810	599
575	811	597
576	814	596
577	815	595
578	816	593
579	817	592
580	819	590
581	820	589
582	821	587
583	823	586
584	824	584
585	825	583
586	827	582
587	828	580
588	830	579
589	831	578
590	833	576
591	834	575
592	836	573
593	837	572
594	838	570
595	840	569
